tube_assembly_id,component_id,quantity
TA-00174,C-1632,1.0
TA-00174,C-1649,1.0
TA-00175,C-0448,1.0
TA-00175,C-0449,1.0
TA-00175,C-0061,1.0
TA-00176,C-0448,1.0
TA-00176,C-0449,1.0
TA-00176,C-0061,1.0
TA-00177,C-1312,2.0
TA-00178,C-1420,1.0
TA-00178,C-1421,1.0
TA-00178,C-0045,1.0
TA-00179,C-1620,2.0
TA-00179,C-1627,2.0
TA-00180,C-1638,1.0
TA-00180,C-1645,1.0
TA-00181,C-1468,1.0
TA-00181,C-1480,1.0
TA-00182,C-1475,1.0
TA-00182,C-1476,1.0
TA-00183,C-1477,1.0
TA-00183,C-1483,1.0
TA-00184,C-1623,1.0
TA-00184,C-1630,1.0
TA-00184,C-1640,1.0
TA-00185,C-1623,1.0
TA-00185,C-1630,1.0
TA-00185,C-1640,1.0
TA-00186,C-1845,2.0
TA-00186,C-1846,2.0
TA-00187,C-1620,2.0
TA-00187,C-1627,2.0
TA-00188,C-1312,2.0
TA-00189,C-1312,2.0
TA-00190,C-1312,2.0
TA-00191,C-1312,2.0
TA-00192,C-1312,2.0
TA-00193,C-1621,1.0
TA-00193,C-1628,1.0
TA-00193,C-1681,1.0
TA-00194,C-1647,2.0
TA-00195,C-1647,2.0
TA-00196,C-1647,2.0
TA-00197,C-1647,2.0
TA-00198,C-1345,1.0
TA-00198,C-1502,1.0
TA-00198,C-1970,1.0
TA-00199,C-1845,2.0
TA-00199,C-1846,2.0
TA-00200,C-0448,2.0
TA-00200,C-0449,2.0
TA-00201,C-0444,2.0
TA-00201,C-0445,2.0
TA-00202,C-0444,2.0
TA-00202,C-0445,2.0
TA-00203,C-1621,1.0
TA-00203,C-1628,1.0
TA-00203,C-1638,1.0
TA-00204,C-1623,1.0
TA-00204,C-1630,1.0
TA-00204,C-0063,1.0
TA-00205,C-1625,1.0
TA-00205,C-1632,1.0
TA-00205,C-0237,1.0
TA-00206,C-1420,2.0
TA-00206,C-1421,2.0
TA-00207,C-1420,2.0
TA-00207,C-1421,2.0
TA-00208,C-1420,2.0
TA-00208,C-1421,2.0
TA-00209,C-0448,2.0
TA-00209,C-0449,2.0
TA-00210,C-1420,2.0
TA-00210,C-1421,2.0
TA-00211,C-1420,2.0
TA-00211,C-1421,2.0
TA-00212,C-1420,2.0
TA-00212,C-1421,2.0
TA-00213,C-1420,2.0
TA-00213,C-1421,2.0
TA-00214,C-1420,2.0
TA-00214,C-1421,2.0
TA-00215,C-0448,2.0
TA-00215,C-0449,2.0
TA-00216,C-1420,2.0
TA-00216,C-1421,2.0
TA-00217,C-1460,1.0
TA-00217,C-2018,1.0
TA-00218,C-1845,2.0
TA-00218,C-1846,2.0
TA-00219,C-1845,2.0
TA-00219,C-1846,2.0
TA-00220,C-1475,1.0
TA-00220,C-1476,1.0
TA-00221,C-1623,2.0
TA-00221,C-1630,2.0
TA-00222,C-1621,2.0
TA-00222,C-1628,2.0
TA-00223,C-1623,1.0
TA-00223,C-1630,1.0
TA-00224,C-1621,2.0
TA-00224,C-1628,2.0
TA-00226,C-1622,2.0
TA-00226,C-1629,2.0
TA-00227,C-1620,1.0
TA-00227,C-1624,1.0
TA-00227,C-1627,1.0
TA-00227,C-1657,1.0
TA-00228,C-0448,2.0
TA-00228,C-0449,2.0
TA-00229,C-1925,1.0
TA-00230,C-0448,2.0
TA-00230,C-0449,2.0
TA-00231,C-1625,1.0
TA-00231,C-1632,1.0
TA-00231,C-1649,1.0
TA-00232,C-1642,2.0
TA-00233,C-1622,2.0
TA-00233,C-1629,2.0
TA-00234,C-1621,2.0
TA-00234,C-1628,2.0
TA-00235,C-1622,2.0
TA-00235,C-1629,2.0
TA-00236,C-1625,1.0
TA-00236,C-1632,1.0
TA-00236,C-1649,1.0
TA-00237,C-1623,1.0
TA-00237,C-1630,1.0
TA-00237,C-1647,1.0
TA-00238,C-1420,2.0
TA-00238,C-1421,2.0
TA-00239,C-1420,2.0
TA-00239,C-1421,2.0
TA-00240,C-1555,1.0
TA-00241,C-1243,1.0
TA-00241,C-1244,1.0
TA-00242,C-1243,1.0
TA-00242,C-1244,1.0
TA-00243,C-1243,1.0
TA-00243,C-1244,1.0
TA-00244,C-1243,1.0
TA-00244,C-1244,1.0
TA-00245,C-1620,1.0
TA-00245,C-1621,1.0
TA-00245,C-1627,1.0
TA-00245,C-1661,1.0
TA-00246,C-1620,2.0
TA-00246,C-1627,1.0
TA-00246,C-2035,1.0
TA-00247,C-1243,1.0
TA-00247,C-1244,1.0
TA-00248,C-1621,2.0
TA-00248,C-1628,2.0
TA-00249,C-1536,2.0
TA-00249,C-1642,1.0
TA-00249,C-1649,1.0
TA-00250,C-1670,1.0
TA-00251,C-0444,2.0
TA-00251,C-0445,2.0
TA-00252,C-1247,1.0
TA-00252,C-1429,1.0
TA-00253,C-1247,1.0
TA-00253,C-1429,1.0
TA-00254,C-1420,2.0
TA-00254,C-1421,2.0
TA-00256,C-1312,2.0
TA-00257,C-1312,2.0
TA-00258,C-1312,2.0
TA-00259,C-1312,2.0
TA-00260,C-1312,2.0
TA-00261,C-1312,2.0
TA-00262,C-1312,2.0
TA-00263,C-1312,2.0
TA-00264,C-1312,2.0
TA-00265,C-1312,2.0
TA-00266,C-1851,1.0
TA-00267,C-1851,1.0
TA-00269,C-1670,1.0
TA-00270,C-1623,1.0
TA-00270,C-1630,1.0
TA-00270,C-1647,1.0
TA-00271,C-1623,1.0
TA-00271,C-1630,1.0
TA-00271,C-1647,1.0
TA-00272,C-1620,2.0
TA-00272,C-1627,2.0
TA-00273,C-1622,2.0
TA-00273,C-1629,2.0
TA-00274,C-1622,2.0
TA-00274,C-1629,2.0
TA-00275,C-1724,1.0
TA-00275,C-1735,1.0
TA-00276,C-1845,2.0
TA-00276,C-1846,2.0
TA-00277,C-1670,1.0
TA-00278,C-1817,1.0
TA-00279,C-1621,2.0
TA-00279,C-1628,2.0
TA-00280,C-1357,1.0
TA-00282,C-1420,2.0
TA-00282,C-1421,2.0
TA-00283,C-1243,2.0
TA-00283,C-1244,2.0
TA-00284,C-1845,2.0
TA-00284,C-1846,2.0
TA-00292,C-1621,2.0
TA-00292,C-1628,2.0
TA-00293,C-1621,1.0
TA-00293,C-1628,1.0
TA-00293,C-1638,1.0
TA-00294,C-1621,1.0
TA-00294,C-1628,1.0
TA-00294,C-1638,1.0
TA-00295,C-1621,1.0
TA-00295,C-1628,1.0
TA-00295,C-1638,1.0
TA-00296,C-1621,2.0
TA-00296,C-1628,2.0
TA-00297,C-1621,2.0
TA-00297,C-1628,2.0
TA-00298,C-1621,2.0
TA-00298,C-1628,2.0
TA-00299,C-1621,2.0
TA-00299,C-1628,2.0
TA-00300,C-1733,1.0
TA-00301,C-1624,2.0
TA-00301,C-1631,2.0
TA-00302,C-1624,2.0
TA-00302,C-1631,2.0
TA-00303,C-1420,1.0
TA-00303,C-1421,1.0
TA-00303,C-1850,1.0
TA-00306,C-0444,1.0
TA-00306,C-0445,1.0
TA-00308,C-1624,2.0
TA-00308,C-1631,2.0
TA-00310,C-1621,2.0
TA-00310,C-1628,2.0
TA-00311,C-1312,2.0
TA-00312,C-1621,2.0
TA-00312,C-1628,2.0
TA-00313,C-1621,2.0
TA-00313,C-1628,2.0
TA-00314,C-1621,1.0
TA-00314,C-1628,1.0
TA-00314,C-1638,1.0
TA-00315,C-1621,1.0
TA-00315,C-1628,1.0
TA-00315,C-1638,1.0
TA-00316,C-1845,2.0
TA-00316,C-1846,2.0
TA-00317,C-1622,1.0
TA-00317,C-1629,1.0
TA-00317,C-1639,1.0
TA-00318,C-1622,1.0
TA-00318,C-1629,1.0
TA-00318,C-1639,1.0
TA-00319,C-1621,2.0
TA-00319,C-1628,2.0
TA-00320,C-1625,1.0
TA-00320,C-1635,1.0
TA-00320,C-1877,1.0
TA-00320,C-0037,1.0
TA-00321,C-1625,1.0
TA-00321,C-1635,1.0
TA-00321,C-1877,1.0
TA-00323,C-1621,2.0
TA-00323,C-1628,2.0
TA-00324,C-1845,2.0
TA-00324,C-1846,2.0
TA-00325,C-1845,2.0
TA-00325,C-1846,2.0
TA-00326,C-1845,2.0
TA-00326,C-1846,2.0
TA-00327,C-1420,1.0
TA-00327,C-1421,1.0
TA-00327,C-1956,1.0
TA-00328,C-0444,2.0
TA-00328,C-0445,2.0
TA-00329,C-0448,1.0
TA-00329,C-0449,1.0
TA-00329,C-1735,1.0
TA-00330,C-1817,1.0
TA-00333,C-1625,1.0
TA-00333,C-1632,1.0
TA-00333,C-1642,1.0
TA-00334,C-1622,2.0
TA-00334,C-1629,2.0
TA-00335,C-1622,2.0
TA-00335,C-1629,2.0
TA-00336,C-1622,2.0
TA-00336,C-1629,2.0
TA-00337,C-1621,2.0
TA-00337,C-1628,2.0
TA-00338,C-1621,2.0
TA-00338,C-1628,2.0
TA-00339,C-1622,2.0
TA-00339,C-1629,2.0
TA-00340,C-1420,2.0
TA-00340,C-1421,2.0
TA-00341,C-1243,2.0
TA-00341,C-1244,2.0
TA-00342,C-1845,2.0
TA-00342,C-1846,2.0
TA-00343,C-1781,2.0
TA-00344,C-1781,2.0
TA-00345,C-1701,1.0
TA-00345,C-0072,1.0
TA-00346,C-1704,1.0
TA-00346,C-0072,1.0
TA-00347,C-1781,2.0
TA-00348,C-1625,2.0
TA-00348,C-1632,2.0
TA-00349,C-1625,2.0
TA-00349,C-1632,2.0
TA-00350,C-1535,1.0
TA-00350,C-1626,2.0
TA-00350,C-1633,2.0
TA-00351,C-1624,1.0
TA-00351,C-1631,1.0
TA-00352,C-1621,2.0
TA-00352,C-1628,2.0
TA-00353,C-1621,2.0
TA-00353,C-1628,2.0
TA-00354,C-1420,2.0
TA-00354,C-1421,2.0
TA-00355,C-1641,1.0
TA-00355,C-1848,1.0
TA-00355,C-0001,1.0
TA-00356,C-1420,1.0
TA-00356,C-1421,1.0
TA-00356,C-1640,1.0
TA-00357,C-1420,1.0
TA-00357,C-1421,1.0
TA-00357,C-1716,1.0
TA-00358,C-1420,2.0
TA-00358,C-1421,2.0
TA-00359,C-1624,1.0
TA-00359,C-1639,1.0
TA-00359,C-1655,1.0
TA-00360,C-1624,1.0
TA-00360,C-1639,1.0
TA-00360,C-1655,1.0
TA-00361,C-1624,1.0
TA-00361,C-1639,1.0
TA-00361,C-1655,1.0
TA-00362,C-1639,2.0
TA-00363,C-1639,2.0
TA-00364,C-1638,2.0
TA-00365,C-1638,2.0
TA-00366,C-1639,2.0
TA-00367,C-1621,2.0
TA-00367,C-1628,2.0
TA-00368,C-1621,2.0
TA-00368,C-1628,2.0
TA-00369,C-1621,2.0
TA-00369,C-1628,2.0
TA-00370,C-1845,2.0
TA-00370,C-1846,2.0
TA-00371,C-1845,2.0
TA-00371,C-1846,2.0
TA-00372,C-1208,2.0
TA-00374,C-2043,1.0
TA-00375,C-0448,1.0
TA-00375,C-0449,1.0
TA-00375,C-1565,1.0
TA-00376,C-2043,1.0
TA-00377,C-2043,1.0
TA-00378,C-0473,1.0
TA-00378,C-1208,1.0
TA-00378,C-1317,1.0
TA-00379,C-1622,2.0
TA-00379,C-1629,2.0
TA-00380,C-1622,2.0
TA-00380,C-1629,2.0
TA-00381,C-1625,1.0
TA-00381,C-1632,1.0
TA-00381,C-1649,1.0
TA-00382,C-1626,1.0
TA-00382,C-1633,1.0
TA-00382,C-1650,1.0
TA-00383,C-1624,1.0
TA-00383,C-1647,1.0
TA-00383,C-1654,1.0
TA-00384,C-1625,1.0
TA-00384,C-1632,1.0
TA-00384,C-1649,1.0
TA-00385,C-1626,1.0
TA-00385,C-1633,1.0
TA-00385,C-1650,1.0
TA-00386,C-1620,2.0
TA-00386,C-1627,2.0
TA-00387,C-1621,2.0
TA-00387,C-1628,2.0
TA-00388,C-1230,2.0
TA-00389,C-1230,2.0
TA-00390,C-0036,1.0
TA-00390,C-0062,1.0
TA-00391,C-0062,2.0
TA-00392,C-0036,1.0
TA-00392,C-0062,1.0
TA-00393,C-0036,1.0
TA-00393,C-0062,1.0
TA-00395,C-1625,1.0
TA-00395,C-1632,1.0
TA-00395,C-2001,1.0
TA-00396,C-1622,2.0
TA-00396,C-1629,2.0
TA-00397,C-1622,2.0
TA-00397,C-1629,2.0
TA-00398,C-1420,2.0
TA-00398,C-1421,2.0
TA-00399,C-1420,2.0
TA-00399,C-1421,2.0
TA-00400,C-1420,2.0
TA-00400,C-1421,2.0
TA-00401,C-0823,2.0
TA-00402,C-0823,2.0
TA-00403,C-1975,2.0
TA-00405,C-1313,2.0
TA-00407,C-1208,2.0
TA-00408,C-1620,2.0
TA-00408,C-1627,2.0
TA-00409,C-1243,2.0
TA-00409,C-1244,2.0
TA-00410,C-1845,2.0
TA-00410,C-1846,2.0
TA-00411,C-1420,2.0
TA-00411,C-1421,2.0
TA-00413,C-0448,1.0
TA-00413,C-0449,1.0
TA-00413,C-0061,1.0
TA-00414,C-1420,2.0
TA-00414,C-1421,2.0
TA-00416,C-1848,2.0
TA-00416,C-0001,2.0
TA-00417,C-1848,2.0
TA-00417,C-0001,2.0
TA-00418,C-1369,2.0
TA-00418,C-1375,1.0
TA-00418,C-0057,1.0
TA-00419,C-1369,2.0
TA-00419,C-1375,1.0
TA-00419,C-0057,1.0
TA-00420,C-1369,2.0
TA-00420,C-1375,1.0
TA-00420,C-0057,1.0
TA-00421,C-1369,2.0
TA-00421,C-1375,1.0
TA-00421,C-0057,1.0
TA-00422,C-1369,2.0
TA-00422,C-1375,1.0
TA-00422,C-0057,1.0
TA-00423,C-1369,2.0
TA-00423,C-1375,1.0
TA-00423,C-0057,1.0
TA-00424,C-1369,2.0
TA-00424,C-1375,1.0
TA-00424,C-0057,1.0
TA-00425,C-1369,2.0
TA-00425,C-1375,1.0
TA-00425,C-0057,1.0
TA-00426,C-1369,2.0
TA-00426,C-1375,1.0
TA-00426,C-0057,1.0
TA-00427,C-1369,2.0
TA-00427,C-1375,1.0
TA-00427,C-0057,1.0
TA-00428,C-1369,2.0
TA-00428,C-1375,1.0
TA-00428,C-0057,1.0
TA-00429,C-1369,2.0
TA-00429,C-1375,1.0
TA-00429,C-0057,1.0
TA-00430,C-0434,1.0
TA-00430,C-1679,1.0
TA-00431,C-1203,1.0
TA-00432,C-0036,1.0
TA-00432,C-0062,1.0
TA-00433,C-0036,1.0
TA-00433,C-0062,1.0
TA-00434,C-0444,1.0
TA-00434,C-0445,1.0
TA-00436,C-0444,2.0
TA-00436,C-0445,2.0
TA-00437,C-1624,2.0
TA-00437,C-1631,2.0
TA-00438,C-1624,2.0
TA-00438,C-1631,2.0
TA-00439,C-1624,2.0
TA-00439,C-1631,2.0
TA-00440,C-1625,1.0
TA-00440,C-1632,1.0
TA-00440,C-1642,1.0
TA-00441,C-1625,2.0
TA-00441,C-1632,2.0
TA-00442,C-1623,1.0
TA-00442,C-1630,1.0
TA-00442,C-1640,1.0
TA-00443,C-1625,1.0
TA-00443,C-1632,1.0
TA-00443,C-1642,1.0
TA-00444,C-0461,1.0
TA-00445,C-1625,2.0
TA-00445,C-1632,2.0
TA-00446,C-1420,2.0
TA-00446,C-1421,2.0
TA-00447,C-1420,2.0
TA-00447,C-1421,2.0
TA-00448,C-1420,2.0
TA-00448,C-1421,2.0
TA-00449,C-1420,2.0
TA-00449,C-1421,2.0
TA-00452,C-1420,2.0
TA-00452,C-1421,2.0
TA-00453,C-1312,2.0
TA-00454,C-1417,1.0
TA-00455,C-1207,1.0
TA-00456,C-0461,1.0
TA-00457,C-0453,1.0
TA-00458,C-1625,1.0
TA-00458,C-1632,1.0
TA-00459,C-1625,1.0
TA-00459,C-1632,1.0
TA-00460,C-1625,1.0
TA-00460,C-1632,1.0
TA-00461,C-1625,1.0
TA-00461,C-1632,1.0
TA-00467,C-1243,2.0
TA-00467,C-1244,2.0
TA-00468,C-1243,2.0
TA-00468,C-1244,2.0
TA-00469,C-1925,1.0
TA-00470,C-1620,2.0
TA-00470,C-1627,2.0
TA-00471,C-1621,2.0
TA-00471,C-1628,2.0
TA-00472,C-1621,2.0
TA-00472,C-1628,2.0
TA-00473,C-1505,1.0
TA-00474,C-1620,2.0
TA-00474,C-1627,2.0
TA-00475,C-1620,2.0
TA-00475,C-1627,2.0
TA-00476,C-1207,1.0
TA-00477,C-0463,1.0
TA-00478,C-1625,1.0
TA-00478,C-1632,1.0
TA-00478,C-1642,1.0
TA-00479,C-1622,1.0
TA-00479,C-1629,1.0
TA-00479,C-2004,1.0
TA-00480,C-1622,1.0
TA-00480,C-1629,1.0
TA-00480,C-2004,1.0
TA-00481,C-1221,1.0
TA-00481,C-1624,1.0
TA-00481,C-1631,1.0
TA-00482,C-1620,1.0
TA-00482,C-1627,1.0
TA-00483,C-1620,1.0
TA-00483,C-1627,1.0
TA-00484,C-1750,1.0
TA-00485,C-1622,1.0
TA-00485,C-1629,1.0
TA-00485,C-0081,1.0
TA-00487,C-1420,2.0
TA-00487,C-1421,2.0
TA-00488,C-1623,1.0
TA-00488,C-1630,1.0
TA-00488,C-1647,1.0
TA-00489,C-1623,1.0
TA-00489,C-1630,1.0
TA-00489,C-1647,1.0
TA-00490,C-1623,1.0
TA-00490,C-1630,1.0
TA-00490,C-1647,1.0
TA-00491,C-1623,1.0
TA-00491,C-1630,1.0
TA-00491,C-1647,1.0
TA-00492,C-1623,1.0
TA-00492,C-1630,1.0
TA-00492,C-1647,1.0
TA-00493,C-1623,1.0
TA-00493,C-1630,1.0
TA-00493,C-1647,1.0
TA-00494,C-1623,1.0
TA-00494,C-1630,1.0
TA-00494,C-1647,1.0
TA-00495,C-1623,1.0
TA-00495,C-1630,1.0
TA-00495,C-1647,1.0
TA-00496,C-1647,2.0
TA-00497,C-1647,2.0
TA-00498,C-1623,1.0
TA-00498,C-1630,1.0
TA-00498,C-1647,1.0
TA-00499,C-1623,1.0
TA-00499,C-1630,1.0
TA-00499,C-1647,1.0
TA-00500,C-1623,1.0
TA-00500,C-1630,1.0
TA-00500,C-1647,2.0
TA-00501,C-1420,2.0
TA-00501,C-1421,2.0
TA-00502,C-1420,2.0
TA-00502,C-1421,2.0
TA-00503,C-1420,2.0
TA-00503,C-1421,2.0
TA-00504,C-1420,2.0
TA-00504,C-1421,2.0
TA-00505,C-0448,2.0
TA-00505,C-0449,2.0
TA-00506,C-0448,2.0
TA-00506,C-0449,2.0
TA-00508,C-1638,2.0
TA-00509,C-1638,2.0
TA-00510,C-1624,1.0
TA-00510,C-1631,1.0
TA-00510,C-1641,1.0
TA-00511,C-1622,2.0
TA-00511,C-1629,2.0
TA-00512,C-1623,2.0
TA-00512,C-1630,2.0
TA-00513,C-2008,2.0
TA-00514,C-1623,2.0
TA-00514,C-1630,2.0
TA-00515,C-2008,2.0
TA-00516,C-1623,1.0
TA-00516,C-1630,1.0
TA-00516,C-1640,1.0
TA-00522,C-1534,1.0
TA-00522,C-1571,1.0
TA-00523,C-1621,1.0
TA-00523,C-1628,1.0
TA-00523,C-1638,1.0
TA-00524,C-1621,1.0
TA-00524,C-1628,1.0
TA-00524,C-1638,1.0
TA-00525,C-1621,2.0
TA-00525,C-1628,2.0
